"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"256","JANK","Janak Chuli","Janak, Outlier","Janak Himal (WNW of Jongsang on Tibetan border)",7041,23100,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"899","2006",1,"JANK06101","May 06","Slovenia","Andrej Stremfelj, Rok Zalokar",NA,NA,NA
"257","KABS","Kabru South",NA,"Simhalila Himal (S of Kabru North on Indian border)",7318,24009,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2003",5,2,"901","1994",1,"KABS94101","May 12","India","S. P. Malik, N. Arshad, 11 members",NA,NA,NA
"258","KABR","Kabru Main","Kabru Central","Simhalila Himal (S of Talung on Indian border)",7412,24318,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",5,2,"903","1994",1,"KABR94101","May 12","India","Dan Singh, 2 unknown members",NA,NA,NA
"259","LASH","Lashar I","Loshar I","Janak Himal (NW of Lashar II on Tibetan border)",6842,22448,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,2,"906","2005",3,"LASH05301","Oct 12","Slovenia","Andrej Stremfelj, Miha Habjan",NA,NA,NA
"260","LAS2","Lashar II","Loshar II","Janak Himal (SW of Ghhanyala Hies on Tibetan border)",6803,22320,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"908",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"261","NAG2","Nangpai Gosum II","Nagpai Gosum II, Chamar","Khumbu Himal (WSW of Cho Oyu on Tibetan border)",7287,23907,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"910",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"262","NANG","Nangamari I",NA,"Ohmi Kangri Himal (W of Chaw Peak on Tibetan border)",6547,21480,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"914","2010",3,"NANG10301","Nov 05","Australia","Timothy Macartney-Snape, David Barton",NA,NA,NA
"263","PANB","Panbari",NA,"Peri Himal (NW of Larkya La)",6905,22654,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"916","2006",3,"PANB06301","Sep 29","Japan","Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",NA,NA,NA
"264","PHNH","Phungi Himal",NA,"Manaslu Himal (W of Manaslu)",6538,21450,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"918","2017",3,"PHNH17301","Oct 28","Russia","Yuri Koshelenko, Akeksei Lonchinskiy",NA,NA,NA
"265","MARI","Mariyang",NA,"Kanti Himal (SE of Kanti Himal on Tibetan border)",6528,21417,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"922",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
